time,open,high,low,close,date,time_str
1738825545000,1738825545023,1738825545023,1738825545023,1738825545023,2025-02-06,07:05:45.000Z
1738825545000,1738825547082,1738825549108,1738825547082,1738825549108,2025-02-06,07:05:45.000Z
1738825550000,1738825550162,1738825550162,1738825550162,1738825550162,2025-02-06,07:05:50.000Z
1738825550000,1738825551329,1738825554362,1738825551329,1738825554362,2025-02-06,07:05:50.000Z
1738825555000,1738825556082,1738825559127,1738825556082,1738825559127,2025-02-06,07:05:55.000Z
1738825560000,1738825560143,1738825560143,1738825560143,1738825560143,2025-02-06,07:06:00.000Z
1738825560000,1738825561158,1738825564933,1738825561158,1738825564933,2025-02-06,07:06:00.000Z
1738825565000,1738825566459,1738825569995,1738825566459,1738825569995,2025-02-06,07:06:05.000Z
1738825570000,1738825571401,1738825574786,1738825571401,1738825574786,2025-02-06,07:06:10.000Z
1738825575000,1738825575802,1738825575802,1738825575802,1738825575802,2025-02-06,07:06:15.000Z
1738825575000,1738825577100,1738825579537,1738825577100,1738825579537,2025-02-06,07:06:15.000Z
1738825580000,1738825580553,1738825580553,1738825580553,1738825580553,2025-02-06,07:06:20.000Z
1738825580000,1738825581575,1738825584617,1738825581575,1738825584617,2025-02-06,07:06:20.000Z
1738825585000,1738825586073,1738825589154,1738825586073,1738825589154,2025-02-06,07:06:25.000Z
1738825590000,1738825590462,1738825590462,1738825590462,1738825590462,2025-02-06,07:06:30.000Z
1738825590000,1738825591548,1738825594122,1738825591548,1738825594122,2025-02-06,07:06:30.000Z
1738825595000,1738825595388,1738825595388,1738825595388,1738825595388,2025-02-06,07:06:35.000Z
1738825595000,1738825597124,1738825598133,1738825597124,1738825598133,2025-02-06,07:06:35.000Z
1738825600000,1738825600084,1738825600084,1738825600084,1738825600084,2025-02-06,07:06:40.000Z
1738825600000,1738825601100,1738825604306,1738825601100,1738825604306,2025-02-06,07:06:40.000Z
1738825605000,1738825605462,1738825605462,1738825605462,1738825605462,2025-02-06,07:06:45.000Z
1738825605000,1738825606516,1738825609962,1738825606516,1738825609962,2025-02-06,07:06:45.000Z
